username,userid,profile_location,created_at,text,retweet_count,source,coordinates
FUTO,1518632513580810241,"Austin, TX",2023-01-17 21:47:08,"Tech's next big fights 

https://t.co/rO1ieFEzMX",0,Twitter Web App,
Adam Singer,14031032,"Austin, TX",2023-01-17 20:03:27,@Cernovich Exactly right - and plenty of folk at these companies do work really hard which breaks people's brains.… https://t.co/vJt8XznuNG,0,Twitter Web App,
Adam Singer,14031032,"Austin, TX",2023-01-17 19:59:47,"Another day, more free PR for big tech perks. Convinced these are all just marketing to get young folk to work in b… https://t.co/XAWkanVKMA",0,Twitter Web App,
nehb,19793479,"Austin, TX",2023-01-17 19:46:11,@GOP Sure. As soon as they drop a dollar in your pocket it is Big Tech Who?,0,Twitter Web App,
AustinBizJournal,24037404,"Austin, Texas ",2023-01-17 19:00:26,Money raised by Austin companies last week will help tech companies find remote employees in Latin America; underwr… https://t.co/Hpad6naUev,0,True Anthem,
Big Ben,1015047568060043267,"Austin, TX",2023-01-17 17:54:30,"UT banning tik tok is stupid, the old heads in congress that don’t know how the technology works is stupid. Its fun… https://t.co/X7DLnuAwSH",0,Twitter for iPhone,
Mike Craven,360324361,"Irving, TX",2023-01-17 14:57:35,"Way-too-early Texas FBS Power Rankings favor #Hookem, #GigEm heading into 2023. 

Texas Tech poised for a Big 12 ru… https://t.co/LnA7mebCGg",4,Twitter for iPhone,
Spiceworks,14569371,"Austin, TX",2023-01-17 14:30:42,"Aviram Levy, head of the product enablement at Zesty, shares a detailed overview of the storage services available… https://t.co/bSPNpZWsnu",0,Twitter Web App,
Misha Gautreaux,85725115,"Austin, TX",2023-01-17 14:29:38,"This is not a big surprise -- the need for a good returns strategy, well thought out customer workflow(s), and a su… https://t.co/RURP95MdSG",0,LinkedIn,
Brendan Callaghan,1486197006985052160,"Austin, Texas",2023-01-17 14:24:48,"@Boenau It should really be the other way around. Road, parked car, curbed bike line, then big sidewalk.",0,Twitter for iPhone,
Accessibility News,887375226891366400,"Austin, TX",2023-01-17 14:00:19,The tech industry still has a long way to go when it comes to accessibility | Via @engadget https://t.co/ihmYJlDUzv #a11y,1,Buffer,
Byrne Hobart,2723411,"Austin, TX",2023-01-17 13:25:46,"Today's post is about Big Tech salaries, the college wage premium, and the Treaty of Detroit. https://t.co/ZXPjrtq2n9",1,Twitter Web App,
FOX 7 Austin,15850297,"Austin, TX",2023-01-17 03:30:13,A big reason for the Texas Longhorns men's basketball team's success in playing the role of comeback kids against T… https://t.co/0MElo1LimT,0,True Anthem,
JUST A GUY,1586095126639681537,"Austin, TX",2023-01-16 22:06:56,@POTUS Dude you forced people en masse to take experimental vaccines and colluded with big tech to violate the 1st… https://t.co/gKZ34hqpHq,0,Twitter for iPhone,
Longhorns Wire,1138516810725318656,"Austin, TX",2023-01-16 19:56:00,Sir’Jabari Rice earns Big 12 honors.  https://t.co/Ji3BwoQOBa,0,True Anthem,
Shelly Brisbin,798391,"Austin, Texas",2023-01-16 18:34:25,Enjoyed reading @CherlynnLow's  @engadget rundown of the past year's #a11y happenings at the big tech companies. https://t.co/x9JyMiFStX,1,TweetDeck,
Nick Moyle,2293485607,"Austin, TX",2023-01-16 18:09:24,"Texas climbs back into the women's AP Top 25. Horns (13-5, 4-1 Big 12) are No. 25 this week

UT has won 10 of 11 an… https://t.co/XlK0XRIlAK",0,Twitter Web App,
Jw8c🧢💀⚡️,1041665179,"Austin, Texas",2023-01-16 16:43:44,@farzyness That’s because they were a big social activist and censoring organization more than a tech company,0,Twitter for iPhone,
Joe Cosgrove Jr,3290911784,"Austin, TX",2023-01-16 14:59:07,Big tech companies spent heavily to expand early in the pandemic based on the idea that the shift to virtual life w… https://t.co/LpOiuyoE13,0,Twitter for iPhone,
Tarik Aossey,45892496,"Austin, TX",2023-01-16 03:53:30,"The big risk in the most-popular, and aging, big tech default email programs #cybersecurity #security

https://t.co/8AnQTWYtYD",0,Twitter for Android,
TECHSON IP - Relentless. Research.,3297993624,"Austin, TX",2023-01-16 00:29:44,"Big Tech Companies Prep for a Tough Year
https://t.co/eThZV7w6SJ",0,Twitter Web App,
The Group,3145545882,"Austin, TX",2023-01-15 20:50:32,@BlipsOnMyScreen @mmpadellan Lmfao Trump wasn’t there and Jr testified he left after he realized the meeting was BS… https://t.co/AAQdNGoEIp,0,Twitter for iPhone,
